Subfamily	Genus	Species	Subspecies	Author Date
Dorylinae	Vicinopone	conciliatrix		(Brown, 1975)
Dorylinae	Yunodorylus	paradoxus		(Borowiec, 2009)
Dorylinae	Yunodorylus	sexspinus		Xu, 2000
Dorylinae	Zasphinctus	cm01		null
Dorylinae	Zasphinctus	ke01		null
Dorylinae	Zasphinctus	steinheili		(Forel, 1900)
Ectatomminae	Ectatomma	opaciventre		(Roger, 1861)
Ectatomminae	Gnamptogenys	striatula		Mayr, 1884
Ectatomminae	Rhytidoponera	chalybaea		Emery, 1901
Ectatomminae	Typhlomyrmex	rogenhoferi		Mayr, 1862
Formicinae	Acropyga	acutiventris		Roger, 1862
Formicinae	Acropyga	cf01		null
Formicinae	Agraulomyrmex	tz01		null
Formicinae	Agraulomyrmex	za02		null
Formicinae	Agraulomyrmex	za03		null
Formicinae	Anoplolepis	custodiens		(Smith, 1858)
Formicinae	Anoplolepis	gracilipes		(Smith, 1857)
Formicinae	Aphomomyrmex	afer		Emery, 1899
Formicinae	Bajcaridris	theryi		(Santschi, 1936)
Formicinae	Brachymyrmex	br01		null
Formicinae	Brachymyrmex	depilis		Emery, 1893
Formicinae	Calomyrmex	albertisi		(Emery, 1887)
Formicinae	Calomyrmex	laevissimus		(Smith, 1859)
Formicinae	Camponotus	alamaina		Rakotonirina, Csosz & Fisher, 2016
Formicinae	Camponotus	bca01		null
Formicinae	Camponotus	bedoti_cf		null
Formicinae	Camponotus	claviscapus		Forel, 1899
Formicinae	Camponotus	gibbinotus		Forel, 1902
Formicinae	Camponotus	hyatti		Emery, 1893
Formicinae	Camponotus	maritimus		Ward, 2005
Formicinae	Camponotus	mg089		null
Formicinae	Camponotus	mg131		null
Formicinae	Camponotus	za03		null
Formicinae	Cataglyphis	cursor		(Fonscolombe, 1846)
Formicinae	Cladomyrma	petalae		Agosti, 1991
Formicinae	Colobopsis	conithorax		(Emery, 1914)
Formicinae	Colobopsis	saundersi		(Emery, 1889)
Formicinae	Colobopsis	vitiensis		(Mann, 1921)
Formicinae	Dinomyrmex	gigas		(Latreille, 1802)
Formicinae	Echinopla	australis		Forel, 1901
Formicinae	Echinopla	striata_nr		null
Formicinae	Euprenolepis	procera		(Emery, 1900)
Formicinae	Formica	moki		Wheeler, 1906
Formicinae	Formica	neogagates		Viereck, 1903
Formicinae	Gesomyrmex	kh01		null
Formicinae	Gesomyrmex	th01		null
Formicinae	Gigantiops	destructor		(Fabricius, 1804)
Formicinae	Iberoformica	subrufa		(Roger, 1859)
Formicinae	Lasiophanes	atriventris		(Smith, 1858)
Formicinae	Lasius	californicus		Wheeler, 1917
Formicinae	Lasius	niger_nr1		null
Formicinae	Lepisiota	afrc-lim-03		null
Formicinae	Lepisiota	canescens		(Emery, 1897)
Formicinae	Melophorus	au01		null
Formicinae	Myrmecocystus	flaviceps		Wheeler, 1912
Formicinae	Myrmecorhynchus	emeryi		André, 1896
Formicinae	Myrmelachista	flavocotea		Longino, 2006
Formicinae	Myrmoteras	iriodum		Moffett, 1985
Formicinae	Notoncus	capitatus		Forel, 1915
Formicinae	Notostigma	carazzii		(Emery, 1895)
Formicinae	Nylanderia	dodo		(Donisthorpe, 1946)
Formicinae	Nylanderia	emmae		(Forel, 1894)
Formicinae	Nylanderia	hystrix		(Trager, 1984)
Formicinae	Nylanderia	mg01		null
Formicinae	Oecophylla	longinoda		(Latreille, 1802)
Formicinae	Oecophylla	smaragdina		(Fabricius, 1775)
Formicinae	Opisthopsis	pg01		null
Formicinae	Opisthopsis	respiciens		(Smith, 1865)
Formicinae	Paraparatrechina	glabra		(Forel, 1891)
Formicinae	Paraparatrechina	oceanica		(Mann, 1921)
Formicinae	Paratrechina	antsingy		LaPolla & Fisher, 2014
Formicinae	Paratrechina	longicornis		(Latreille, 1802)
Formicinae	Paratrechina	zanjensis		LaPolla, Hawkes & Fisher, 2013
Formicinae	Petalomyrmex	phylax		Snelling, 1979
Formicinae	Plagiolepis	alluaudi		Emery, 1894
Formicinae	Plagiolepis	mg05		null
Formicinae	Polyergus	mexicanus		Forel, 1899
Formicinae	Polyrhachis	decumbens		Kohout, 2006
Formicinae	Prenolepis	imparis		(Say, 1836)
Formicinae	Proformica	mongolica		(Emery, 1901)
Formicinae	Prolasius	convexus		McAreavey, 1947
Formicinae	Pseudolasius	australis		Forel, 1915
Formicinae	Pseudonotoncus	hirsutus		Clark, 1934
Formicinae	Rossomyrmex	anatolicus		Tinaut, 2007
Formicinae	Santschiella	kohli		Forel, 1916
Formicinae	Stigmacros	clivispina_cf		null
Formicinae	Tapinolepis	mg01		null
Formicinae	Tapinolepis	za01		null
Formicinae	Teratomyrmex	greavesi		McAreavey, 1957
Formicinae	Zatania	albimaculata		(Santschi, 1930)
Heteroponerinae	Acanthoponera	minor		(Forel, 1899)
Heteroponerinae	Heteroponera	panamensis		(Forel, 1899)
Leptanillinae	Anomalomyrma	boltoni		Borowiec, Schulz, Alpert & Baňař, 2011
Leptanillinae	Leptanilla	gr01		null
Leptanillinae	Leptanilla	gr02		null
Leptanillinae	Leptanilla	th01		null
Leptanillinae	Leptanilla	th02		null
Leptanillinae	Leptanilla	th03		null
Leptanillinae	Leptanilla	th04		null
Leptanillinae	Leptanilla	th05		null
Leptanillinae	Leptanilla	th06		null
Leptanillinae	Leptanilla	th08		null
Leptanillinae	Leptanilla	th09		null
Leptanillinae	Leptanilla	za01		null
Leptanillinae	Opamyrma	hungvuong		Yamane, Bui & Eguchi, 2008
Leptanillinae	Phaulomyrma	mm01		null
Leptanillinae	Protanilla	jp01		null
Leptanillinae	Protanilla	th01		null
Leptanillinae	Protanilla	th02		null
Leptanillinae	Protanilla	th03		null
Leptanillinae	Protanilla	vn01		null
Leptanillinae	Protanilla	vn03		null
Leptanillinae	Yavnella	argamani		Kugler, 1987
Martialinae	Martialis	heureka		Rabeling & Verhaagh, 2008
Myrmeciinae	Myrmecia	pyriformis		Smith, 1858
Myrmeciinae	Nothomyrmecia	macrops		Clark, 1934
Myrmicinae	Acanthognathus	ocellatus		Mayr, 1887
Myrmicinae	Acanthomyrmex	ferox		Emery, 1893
